"filename", "language", "JSON", "PostCSS", "YAML", "TypeScript JSX", "HTML", "TypeScript", "SCSS", "JSON with Comments", "Markdown", "XML", "comment", "blank", "total"
"/Users/thoulappea/Documents/picorca/picorca-extension/.github/ISSUE_TEMPLATE/bug_report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 34
"/Users/thoulappea/Documents/picorca/picorca-extension/.github/dependabot.yml", "YAML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 2, 12
"/Users/thoulappea/Documents/picorca/picorca-extension/.github/stale.yml", "YAML", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 0, 17
"/Users/thoulappea/Documents/picorca/picorca-extension/.github/workflows/ci.yml", "YAML", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"/Users/thoulappea/Documents/picorca/picorca-extension/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 39, 182
"/Users/thoulappea/Documents/picorca/picorca-extension/components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/thoulappea/Documents/picorca/picorca-extension/custom-vite-plugins.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 2, 4, 56
"/Users/thoulappea/Documents/picorca/picorca-extension/manifest.dev.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/thoulappea/Documents/picorca/picorca-extension/manifest.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"/Users/thoulappea/Documents/picorca/picorca-extension/nodemon.chrome.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/thoulappea/Documents/picorca/picorca-extension/nodemon.firefox.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/Users/thoulappea/Documents/picorca/picorca-extension/package.json", "JSON", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/thoulappea/Documents/picorca/picorca-extension/pnpm-lock.yaml", "YAML", 0, 0, 4705, 0, 0, 0, 0, 0, 0, 0, 0, 1168, 5873
"/Users/thoulappea/Documents/picorca/picorca-extension/public/contentStyle.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/thoulappea/Documents/picorca/picorca-extension/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 115
"/Users/thoulappea/Documents/picorca/picorca-extension/src/assets/img/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 115
"/Users/thoulappea/Documents/picorca/picorca-extension/src/assets/img/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/thoulappea/Documents/picorca/picorca-extension/src/assets/styles/tailwind.css", "PostCSS", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 130
